,Index,Buy,Sell,Rate
2020-04-06 14:59:04,100.69,1241.4,1217.8,1229.6
2020-04-06 15:01:05,100.69,1241.6,1218.0,1229.8
2020-04-06 15:07:09,100.69,1241.3,1217.7,1229.5
2020-04-06 15:08:22,100.69,1241.2,1217.6,1229.4
2020-04-06 15:11:11,100.69,1240.5,1217.1,1228.8
2020-04-06 15:15:05,100.69,1241.3,1217.7,1229.5
2020-04-06 15:18:42,100.69,1241.9,1218.3,1230.1
2020-04-06 15:19:30,100.69,1242.0,1218.4,1230.2
2020-04-06 15:20:17,100.69,1242.3,1218.7,1230.5
2020-04-06 15:22:19,100.69,1241.8,1218.2,1230.0
2020-04-06 15:22:58,100.69,1240.6,1217.2,1228.9
2020-04-06 15:25:26,100.69,1240.5,1217.1,1228.8
2020-04-06 15:28:42,100.69,1241.2,1217.6,1229.4
2020-04-06 15:31:13,100.69,1241.1,1217.5,1229.3
2020-04-06 15:32:45,100.69,1241.3,1217.7,1229.5
2020-04-06 15:42:41,100.69,1241.3,1217.7,1229.5
2020-04-06 15:47:35,100.69,1240.7,1217.3,1229.0
2020-04-06 15:54:28,100.69,1240.7,1217.3,1229.0
2020-04-06 16:16:54,100.69,1240.7,1217.3,1229.0
2020-04-06 16:20:00,100.69,1240.2,1216.8,1228.5
2020-04-06 16:22:49,100.69,1239.7,1216.3,1228.0
2020-04-06 16:30:12,100.69,1239.7,1216.3,1228.0
2020-04-06 16:33:19,100.69,1239.7,1216.3,1228.0
2020-04-06 16:39:56,100.69,1240.2,1216.8,1228.5
2020-04-06 16:41:09,100.69,1239.7,1216.3,1228.0
2020-04-06 16:48:25,100.69,1239.2,1215.8,1227.5
2020-04-06 16:58:50,100.69,1239.2,1215.8,1227.5
2020-04-07 08:32:33,99.9,1235.7,1212.3,1224.0
2020-04-07 08:39:27,99.9,1235.7,1212.3,1224.0
2020-04-07 08:45:05,99.9,1235.7,1212.3,1224.0
2020-04-07 08:50:54,99.9,1235.7,1212.3,1224.0
2020-04-07 08:58:44,99.9,1235.7,1212.3,1224.0
2020-04-07 09:01:02,99.9,1234.6,1211.2,1222.9
2020-04-07 09:01:42,99.9,1234.4,1211.0,1222.7
2020-04-07 09:03:19,99.9,1233.4,1210.0,1221.7
2020-04-07 09:03:54,99.9,1233.5,1210.1,1221.8
2020-04-07 09:04:28,99.9,1233.6,1210.2,1221.9
2020-04-07 09:06:43,99.9,1233.8,1210.4,1222.1
2020-04-07 09:07:34,99.9,1233.0,1209.6,1221.3
2020-04-07 09:08:05,99.9,1232.7,1209.3,1221.0
2020-04-07 09:09:01,99.9,1231.8,1208.4,1220.1
2020-04-07 09:09:32,99.9,1231.2,1207.8,1219.5
2020-04-07 09:10:04,99.9,1231.7,1208.3,1220.0
2020-04-07 09:12:42,99.9,1231.5,1208.1,1219.8
2020-04-07 09:14:58,99.9,1231.0,1207.6,1219.3
